StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly,Salary Package
12,Female,Pune,Tier3,Mechanical,AI,Yes,No,6.01,5.71,5.46,5.81,5.49,5.2,5.73,5.44,5.67,54.8,0,1,,1,0,43.6,2.4,32.8,37.6,1,Low,0,0,0
13,Male,Pune,Tier2,IT,Embedded,No,Yes,5.42,4.86,5.01,5.96,5,5.59,5.18,4.94,5.32,67.2,0,1,0,0,0,44.5,1.9,33,37.4,0,Low,0,0,0
14,Male,Delhi,Tier1,CS,AI,No,No,10,10,10,10,10,10,9.74,10,9.92,78.6,1,4,2,3,1,,,87.9,86.8,1,High,1,0,18.11
15,Female,Jaipur,Tier2,EE,DataScience,Yes,No,6.77,6.81,6.38,6.5,6.75,6.61,7.35,7.52,6.69,86.8,1,4,3,4,1,95.5,3.4,65.1,73,1,Mid,1,0,8.79
16,Female,Jaipur,Tier1,IT,Networking,Yes,No,9.12,9.59,8.77,8.31,9.21,9.01,9.35,9.16,9.05,100,2,2,3,2,1,81.1,4.6,85.2,60.3,1,High,1,0,25.03
17,Male,Ahmedabad,Tier2,Mechanical,AI,Yes,No,7.37,7.15,7.41,7.4,7.86,7.8,7.58,7.8,7.49,88.1,1,4,2,3,1,84.3,3.7,62.4,76.9,1,Mid,1,0,8.32
18,Female,Pune,Tier2,EE,Networking,Yes,No,5.45,5.01,4.83,4.77,4.79,5.78,4.92,4.73,5.03,75.9,0,1,0,2,1,60.9,2.4,,47.9,0,Low,0,0,0
19,Male,Bangalore,Tier2,Mechanical,Embedded,No,No,6.97,6.53,6.97,6.34,7.09,7.12,6.51,6.98,6.84,66.4,0,2,1,1,0,,1.3,57.9,56.6,0,Mid,0,0,0
20,Female,Mumbai,Tier1,CS,Embedded,Yes,No,6.29,6.68,6.73,6.47,6.8,7.05,7,6.95,6.84,94.7,1,2,2,3,1,83.5,3.9,63.6,71.7,1,Mid,1,0,8.13
21,Female,Bangalore,Tier2,Civil,Embedded,Yes,No,6.91,6.7,7.44,6.94,7.42,6.76,7.35,7.14,7.1,75.3,1,1,1,2,1,75.2,2.4,57.4,44.6,0,Mid,1,0,8.03
22,Female,Bangalore,Tier2,ECE,AI,Yes,No,7.36,6.61,7.47,7.03,7.58,7.07,6.93,7.57,7.17,89.2,2,2,2,4,1,91.5,4.7,80.4,57.6,1,Mid,1,0,8.32
23,Male,Pune,Tier1,ECE,AI,Yes,Yes,8.59,8.36,8.61,8.63,8.86,8.46,9.2,8.42,8.66,86.6,2,3,3,4,1,76.8,4.5,83.3,68.9,1,High,1,0,22.2
24,Female,Mumbai,Tier2,ECE,Networking,No,No,7.35,7.76,7.06,7.58,7.19,7.33,7.68,7.69,7.34,71.1,1,2,2,2,0,79.1,3.1,50.1,53.9,1,Mid,1,0,12.87
25,Male,Chennai,Tier2,ECE,AI,No,No,9.36,9.12,9.39,9.92,9.24,9.77,9.96,9.84,9.6,61.2,0,2,1,2,0,70.9,2.9,52.1,57.2,0,High,1,0,18.09
26,Female,Ahmedabad,Tier1,Mechanical,Networking,No,No,4.75,4.19,4.58,5.47,5.06,5.14,5.08,5.21,4.99,79.4,1,2,3,3,1,83.2,3.2,60.5,59.3,0,Low,0,0,0
27,Female,Pune,Tier1,CS,Networking,No,No,9.15,9.34,8.92,8.92,9.21,9.52,9.29,9.04,9.42,97,2,3,3,4,2,80.4,3.6,86.9,78.1,1,High,1,0,25.59
28,Female,Ahmedabad,Tier2,EE,Embedded,No,Yes,6.08,6.06,5.93,6.16,6.22,6.39,6.6,6.07,6.25,70.4,1,2,3,2,0,63.3,2.8,57.7,59.3,0,Low,0,0,0
29,Female,Bangalore,Tier2,Mechanical,Embedded,No,No,9.68,9.01,10,9.75,9,9.07,9.71,9.47,9.5,80.1,1,2,2,1,0,83.2,2.4,53.7,53.8,0,High,1,0,18.13
30,Female,Pune,Tier2,Civil,Networking,Yes,No,9.94,9.85,9.28,10,10,10,10,10,9.86,92.3,3,1,2,3,2,,4.8,60.3,89.3,1,High,1,0,25.15
31,Male,Chennai,Tier3,CS,AI,Yes,No,6.37,5.62,6.08,5.84,5.57,6.25,5.7,6.22,6.02,71,1,2,1,1,1,70.7,3,61.3,60.8,1,Low,1,0,5.99
32,Female,Kolkata,Tier2,ECE,Networking,No,No,9.71,9.63,10,10,10,10,10,10,9.96,89.5,1,3,4,4,2,84.2,3.3,78.8,59.8,1,High,1,0,25.46
33,Female,Hyderabad,Tier2,EE,AI,No,No,9.26,9.23,9.22,8.61,8.93,9.15,8.77,9.53,9.13,91.4,2,4,2,4,2,85.1,3.2,91.2,76.9,0,High,1,0,18.17
34,Male,Kochi,Tier3,Civil,AI,Yes,No,4.52,4.06,4.31,4.16,4.05,4.31,4,4.01,4.08,57.5,0,0,0,1,1,,2.1,27.4,34.6,1,Low,0,0,0
35,Female,Pune,Tier3,IT,AI,Yes,No,6.57,6.54,6.51,6.43,6.21,7.41,5.94,6.28,6.4,63.3,1,0,1,0,0,43.9,1.9,24.5,34.8,0,Low,0,0,0
36,Male,Pune,Tier2,ECE,Embedded,Yes,No,4.44,4.37,4.8,4.06,4.16,4.49,4.12,4.57,4.39,65.8,0,1,1,1,0,42.8,1.7,26.9,32.2,0,Low,0,0,0
37,Male,Pune,Tier1,CS,Networking,No,No,8.26,8.25,7.7,8.16,7.75,7.73,8.31,8.34,7.89,98.3,2,3,3,2,2,77.5,3.7,,87.6,1,Mid,1,0,8.23
38,Female,Chennai,Tier1,IT,AI,No,No,9.67,9.8,9.89,9.81,9.78,10,9.86,10,9.98,88.8,3,3,,4,2,78.7,4.1,71.1,72,1,High,1,0,25.05
39,Female,Ahmedabad,Tier1,IT,AI,No,Yes,7.51,7.91,7.35,7.81,7.71,7.66,7.51,7.55,7.66,73.2,1,2,2,1,0,61,3.2,52.3,48.3,1,Mid,1,0,8.99
40,Male,Kochi,Tier2,CS,Embedded,No,No,6.09,5.76,6.04,5.62,6.17,6.13,6.08,6.17,5.99,79.6,1,1,2,2,1,71.6,3.4,44.7,,1,Low,0,0,0
41,Female,Kolkata,Tier2,CS,Embedded,No,No,7.31,7.44,7.94,8.34,7.52,7.64,7.98,8.06,7.91,89.8,2,3,3,4,1,97.7,3.6,61.8,72.2,0,Mid,1,0,12.37
42,Male,Kochi,Tier3,ECE,Networking,No,No,5.37,5.13,5.23,5.41,5.11,5.58,5.54,5.66,5.29,76.8,1,2,1,3,1,57.2,2.5,50.4,55,0,Low,1,0,3.21
43,Female,Bangalore,Tier1,CS,AI,Yes,No,6.09,6.58,7.28,6.34,6.61,6.38,6.48,6.54,6.48,95.4,2,4,2,4,1,94.5,3.9,86.1,89.7,0,Low,1,0,3.52
44,Male,Ahmedabad,Tier2,Mechanical,Embedded,No,Yes,6.41,7.13,7.35,6.94,6.92,6.48,6.89,6.6,6.84,69.9,0,0,0,0,0,48.5,1,23.8,31.8,0,Mid,0,0,0
45,Male,Kolkata,Tier2,ECE,Embedded,No,No,10,9.57,10,9.84,9.69,10,10,9.55,9.79,90.3,2,4,3,3,2,67,3.5,93.2,58.2,1,High,1,0,25.34
46,Female,Kochi,Tier3,Mechanical,Networking,Yes,No,5.88,6.14,6.27,6.51,6.3,5.17,6.04,6.2,6.05,74.5,1,2,1,2,0,61.9,3.4,70.9,48.7,1,Low,1,0,4.25
47,Female,Kochi,Tier2,EE,DataScience,Yes,No,10,10,10,10,9.98,10,10,10,10,75.9,1,3,4,3,2,89.6,4.6,66.4,,0,High,1,0,18.74
48,Male,Kolkata,Tier2,ECE,Networking,Yes,No,9.89,9.64,9.19,8.81,9.35,8.99,9.45,8.96,8.98,77.5,1,1,1,2,0,76.1,4,57.8,,1,High,1,0,18.58
49,Female,Pune,Tier2,Mechanical,Networking,Yes,No,5.49,5.57,5.8,5.59,5.8,5.62,5.59,5.76,5.6,70.8,1,1,2,2,1,59.8,3.6,49.6,49.2,0,Low,1,0,3.23
50,Female,Hyderabad,Tier1,CS,AI,Yes,No,7,7.51,7.77,7.72,7.82,7.34,7.8,8.56,7.73,68.4,2,2,2,2,1,,4,86.7,76.4,1,Mid,1,0,8.46
51,Male,Ahmedabad,Tier3,CS,Networking,No,No,7.22,7.01,7.43,6.64,6.1,6.6,6.85,6.21,6.65,54.1,0,0,1,0,0,,2.3,18.5,31.7,1,Mid,0,0,0
52,Male,Hyderabad,Tier2,EE,DataScience,Yes,No,6.39,6.64,7.36,6.58,6.19,6.6,6.61,6.84,6.63,73.1,1,3,2,1,1,73.1,3.6,59.4,65.4,1,Mid,1,0,12.03
53,Female,Ahmedabad,Tier3,CS,Embedded,Yes,Yes,4.35,4.26,4.43,4.57,4.33,4.03,4.45,4.36,4.4,63,1,0,0,1,0,45.1,1.1,30,31.5,0,Low,0,0,0
54,Female,Mumbai,Tier3,IT,Embedded,Yes,No,5.73,5.79,5.57,6.01,5.64,5.87,5.67,5.51,5.69,61.8,0,1,1,0,0,,1.8,24.7,38.6,0,Low,0,0,0
55,Female,Mumbai,Tier1,Civil,Embedded,No,No,6.77,6.72,6.6,6.54,7.13,6.79,6.5,7,6.81,64.9,0,0,1,2,0,72.9,3.1,62.4,55.3,0,Mid,0,0,0
56,Male,Hyderabad,Tier3,ECE,Networking,No,No,6.34,6.97,6.91,6.54,6.64,6.46,6.66,6.72,6.66,61.7,1,1,0,0,1,47.4,,27.7,33.9,0,Mid,0,0,0
57,Female,Delhi,Tier1,Mechanical,Embedded,No,No,10,10,10,9.81,10,10,9.96,10,10,98,1,3,2,3,2,78.7,4.6,86.6,71.9,1,High,1,0,25.61
58,Female,Chennai,Tier1,CS,DataScience,Yes,No,9.35,9.55,9.52,9.78,9.6,9.78,9.64,9.99,9.66,99.9,2,4,2,3,1,87.8,3.7,65,70.1,0,High,1,0,18.61
59,Male,Mumbai,Tier2,Mechanical,AI,No,No,9.28,8.98,9.13,9.06,9.34,9.65,9.45,8.76,9.27,91.3,1,4,2,4,1,90.5,4.3,68.5,,0,High,1,0,18.68
60,Male,Hyderabad,Tier2,CS,AI,Yes,No,8.03,7.42,7.52,8.21,8.31,8.25,7.77,8.02,8.01,97.9,2,4,2,5,2,,,78.6,73.2,1,High,1,0,18.97
61,Male,Delhi,Tier2,CS,DataScience,Yes,No,8.19,7.95,7.85,7.62,8.2,8.44,7.63,8.07,8,68.6,0,3,2,2,0,60.8,4,52.6,41.2,0,Mid,1,0,8.95
62,Male,Chennai,Tier1,Mechanical,AI,Yes,No,9.69,10,10,9.77,10,10,9.81,10,9.76,88.2,2,3,,3,2,69,4.3,83.5,81.5,1,High,1,0,25.86
63,Female,Pune,Tier3,Civil,Embedded,No,No,6.15,6.48,6.43,5.86,6.4,6.16,6.56,5.9,6.37,54.9,0,1,0,0,1,53.2,2.5,28.9,26.2,0,Low,0,0,0
64,Male,Hyderabad,Tier2,CS,Embedded,Yes,No,8.1,8.59,8.41,8.03,9,8.31,8.39,8.3,4.49,51.62642653,1,2,1,2,1,35.1,3.8,0.5,54.7,1,High,1,1,18.33
65,Male,Jaipur,Tier1,ECE,DataScience,Yes,No,6.51,7.1,6.66,6.72,6.48,7.06,6.69,6.96,6.77,91.9,2,2,3,3,1,85.1,4.6,82.8,79.7,1,Mid,1,0,8.37
66,Female,Bangalore,Tier1,CS,Networking,No,No,6.9,6.93,7.68,7.05,7.03,7.01,6.58,7.09,6.95,71.6,1,2,1,1,1,63.5,4.4,56.6,54.9,1,Mid,1,0,8.85
67,Male,Jaipur,Tier1,EE,Embedded,Yes,No,8.05,8.49,8.4,8.51,7.68,8.64,8.1,8.08,8.09,85.3,2,3,3,3,2,75.1,5,,59.1,1,High,1,0,18.99
68,Male,Hyderabad,Tier3,CS,AI,Yes,Yes,4,4.21,4.2,4,4,4.04,4,4,4.28,61.3,0,1,0,0,0,46.8,1.8,30.7,25.4,0,Low,0,0,0
69,Male,Ahmedabad,Tier1,CS,AI,No,No,7.25,7.53,7.31,7.49,8.06,8.06,7.64,7.84,7.66,84.3,2,4,3,4,2,80.8,3.7,100,71.3,1,Mid,1,0,12.29
70,Female,Ahmedabad,Tier3,IT,DataScience,Yes,Yes,5.84,4.8,4.85,5.88,4.89,5.42,4.58,5.33,5.29,50,1,0,1,0,0,44.8,,28.9,18.8,0,Low,0,0,0
71,Male,Mumbai,Tier2,CS,AI,No,Yes,4.25,4,4.34,4.42,4,4,4.11,4,4,69.7,1,2,2,1,0,76.6,2.9,,54.3,1,Low,0,0,0
72,Female,Mumbai,Tier1,CS,AI,No,No,6.75,6.77,6.7,6.16,7.37,7.19,7.11,7.57,7.14,92,3,4,2,4,1,79.9,4.5,,67.3,1,Mid,1,0,12.16
73,Female,Kolkata,Tier2,Mechanical,DataScience,Yes,No,9.06,9.25,10,9.82,9.78,9.69,10,9.95,9.82,87.1,2,4,3,2,2,100,2.7,65.3,70,1,High,1,0,18.72
74,Male,Chennai,Tier2,IT,Embedded,Yes,No,6.11,6.3,6.55,6.3,6.62,6.45,6.15,5.78,6.23,63.4,1,1,,0,1,46.2,1.9,22.9,,0,Low,0,0,0
75,Female,Pune,Tier2,CS,Networking,Yes,Yes,5.97,5.98,6.24,6.13,5.87,6.05,6,6.18,6.08,70,1,1,1,2,0,62.9,,59.8,46.1,0,Low,0,0,0
76,Male,Mumbai,Tier3,EE,Networking,Yes,No,5.79,5.74,5.6,5.38,5.79,5.54,5.45,5.65,5.55,79.9,1,1,,1,0,54.9,3.8,46.3,55.6,0,Low,0,0,0
77,Female,Jaipur,Tier2,Civil,Networking,Yes,No,8.48,8.05,8.54,8.69,8.04,8.9,8.05,8.76,8.62,60.3,2,2,1,1,0,56.7,3.7,55.6,40.8,0,High,1,0,18.89
78,Male,Hyderabad,Tier1,IT,AI,No,No,8.97,8.88,8.8,8.96,8.96,9.19,9.03,8.99,9.02,99.7,1,2,,2,1,93.1,4.4,94.1,61.3,1,High,1,0,25.74
79,Male,Hyderabad,Tier1,ECE,Embedded,No,No,5.97,5.69,6,5.47,6.03,6.14,6.15,5.82,5.96,75.4,1,2,2,2,1,67.6,3.5,55.3,43.6,1,Low,0,0,0
80,Male,Delhi,Tier2,CS,Networking,Yes,No,9.44,9.54,9.78,9.6,9.59,9.59,9.49,10,9.71,98.4,1,3,3,2,0,57.6,4.3,79.7,86.6,0,High,1,0,18.52
81,Female,Bangalore,Tier2,IT,DataScience,Yes,Yes,7.01,6.76,7.14,6.89,7.02,7.59,7.28,6.89,7.14,50.4,0,1,1,1,0,37.1,1.2,26.1,29.4,0,Mid,0,0,0
82,Female,Delhi,Tier1,EE,Embedded,No,No,9.43,8.82,8.95,8.79,8.69,8.51,9.05,9.1,9,84.4,1,2,,1,0,74.4,3,49.5,45.6,1,High,1,0,18.27
83,Female,Chennai,Tier1,ECE,Networking,Yes,No,8.4,8.22,8.27,8.59,8.65,8.37,7.99,8.43,8.24,92.7,1,5,3,3,1,77.7,3.4,90.5,74.2,1,High,1,0,22.31
84,Female,Mumbai,Tier2,ECE,Embedded,Yes,No,9.91,9.62,10,10,10,10,10,9.69,9.72,96.6,2,3,1,3,2,82.5,3.2,68.6,81.8,1,High,1,0,25.24
85,Male,Kolkata,Tier2,EE,AI,No,No,8.21,8.55,8.22,9.35,9.03,8.81,8.97,8.5,8.75,83.5,2,2,3,4,1,69.7,4.5,79.8,73.4,1,High,1,0,22.33
86,Male,Jaipur,Tier1,Civil,Networking,Yes,No,7.48,7.89,8.15,8.57,7.92,8.03,8.1,8.54,7.94,74.3,2,3,4,2,2,85.4,4.1,62.8,71.3,1,Mid,1,0,10.42
87,Female,Pune,Tier2,Mechanical,Embedded,Yes,No,7.47,7.74,7.62,7.2,7.48,7.62,7.76,7.48,7.59,86.5,1,1,2,2,1,63.5,3.1,49.1,,1,Mid,1,0,8.48
88,Female,Ahmedabad,Tier2,Mechanical,AI,Yes,Yes,8.15,8.32,8.33,8.5,8.69,8.59,8.42,8.16,8.36,84,1,2,1,3,1,63.7,4.4,58.5,44.9,1,High,1,0,18.65
89,Male,Delhi,Tier3,EE,Embedded,No,No,5.09,5.3,5.28,5.38,5.82,5.16,5.24,5.31,5.36,63,0,0,0,1,0,41.7,2.2,23.6,33.1,1,Low,0,0,0
90,Male,Delhi,Tier1,CS,Networking,Yes,No,9.61,9.68,9.26,9.52,9.39,9.66,9.41,9.75,9.54,76.7,0,2,1,1,1,81.5,3,54.7,59.7,1,High,1,0,18.8
91,Male,Pune,Tier1,IT,Embedded,Yes,No,7.05,7.82,7.56,8.08,8,7.49,7.96,7.46,7.67,86.5,0,3,1,4,2,85.9,3.4,75.8,64.6,1,Mid,1,0,8.91
92,Male,Ahmedabad,Tier2,Civil,Embedded,No,No,5.91,5.68,5.71,5.73,5.68,5.99,5.73,6.11,5.75,82,1,1,3,2,0,62.8,3,46.2,52.8,1,Low,0,0,0
93,Female,Hyderabad,Tier1,ECE,AI,No,No,5.32,4.93,5.13,4.61,5.2,5.2,5.35,4.89,5.19,76.8,1,2,2,1,1,60.9,2.6,61.4,58.9,0,Low,1,0,3.88
94,Male,Bangalore,Tier2,Mechanical,Embedded,No,No,7.37,7.26,7.6,7.07,7.2,7.45,7.26,7.73,7.53,74.5,1,1,2,2,1,72.1,2.9,57.8,58.7,0,Mid,1,0,8.32
95,Female,Jaipur,Tier3,ECE,DataScience,No,No,7.56,8.42,7.97,7.74,8.47,7.61,8.64,8.36,8.06,66.2,0,2,,2,1,70,,,43.6,1,High,1,0,18.36
96,Male,Hyderabad,Tier1,IT,Networking,Yes,Yes,5.7,6.19,6.08,6.33,6.03,6.14,5.84,6.13,6.08,68.3,1,2,2,1,0,71.6,3,55.4,59,0,Low,0,0,0
97,Male,Hyderabad,Tier2,CS,Networking,Yes,No,6.99,7.29,6.62,7.66,6.65,7.19,7.52,6.94,7.13,82.4,1,1,,2,1,70.5,1.8,59,44.8,1,Mid,1,0,8.49
98,Female,Ahmedabad,Tier1,Mechanical,Networking,Yes,No,8.21,8.7,8.14,8.29,8.41,8.81,8.15,8.95,8.54,63.6,1,2,1,1,1,65.8,3.6,54,65.8,1,High,1,0,22.71
99,Male,Chennai,Tier1,Civil,Embedded,Yes,No,5.49,6.22,5.47,6.02,6.44,5.78,5.7,6.03,5.85,88.8,2,5,3,2,1,79,3.2,82.4,,0,Low,1,0,3.92
100,Male,Kochi,Tier1,Civil,DataScience,Yes,Yes,9.33,9.68,9.77,10,10,10,10,10,9.87,90.5,2,3,3,3,2,62.4,3.7,66.2,67.9,1,High,1,0,25.08
101,Male,Mumbai,Tier1,Mechanical,Embedded,No,No,9.56,10,10,10,10,10,10,10,10,94.8,1,3,3,3,1,84.4,3.7,76.7,75.7,1,High,1,0,25.03
102,Male,Ahmedabad,Tier3,IT,AI,Yes,No,8.25,8.6,8.47,8.27,8.74,8.59,8.81,8.4,8.61,65.4,1,1,2,2,0,77.9,,55.9,55.6,0,High,1,0,18.53
103,Female,Jaipur,Tier2,Mechanical,DataScience,Yes,No,9.98,10,9.8,10,9.61,10,10,10,9.96,78.8,2,4,3,4,2,91.8,2.7,82.9,80.6,1,High,1,0,18.69
104,Male,Pune,Tier2,Mechanical,Embedded,No,No,5.99,6.28,5.95,6.21,7.26,6.6,6.35,6.31,6.29,81.2,0,1,2,2,0,55,3.5,59.2,42.8,1,Low,0,0,0
105,Female,Hyderabad,Tier3,ECE,Embedded,Yes,Yes,4,4,4,4.23,4,4,4,4,4.19,62.7,0,2,,0,1,38.9,2.3,31,33.6,1,Low,0,0,0
106,Male,Hyderabad,Tier1,CS,DataScience,No,No,7.91,8.12,8.33,8.12,8.19,8.32,8.36,7.96,8.25,76.6,1,5,2,3,2,89.8,3.9,80.9,77.4,1,High,1,0,22.57
107,Male,Kolkata,Tier1,ECE,DataScience,No,No,7.07,7.47,7.13,7.56,6.89,7.36,7.3,7.21,7.36,81.3,1,2,,2,1,71.5,,48.9,67.8,1,Mid,1,0,8.45
108,Female,Hyderabad,Tier2,IT,AI,No,No,6.04,5.7,5.95,5.81,5.77,6.19,5.95,6.01,5.97,86.6,1,1,1,2,1,70.5,2.6,49.4,58.2,0,Low,1,0,5.91
109,Male,Hyderabad,Tier1,Mechanical,Networking,No,No,7.75,7.35,7.76,7.74,7.5,8.17,7.93,8.16,7.84,78.3,3,2,3,1,1,66.4,4.9,78.1,78.6,1,Mid,1,0,10.31
110,Male,Mumbai,Tier1,IT,AI,No,Yes,6.36,6.63,6.2,5.78,5.89,5.99,6.72,6.78,6.2,90.7,1,3,,3,1,95.7,4.8,55.9,73.6,1,Low,1,0,5.7
111,Male,Pune,Tier1,Mechanical,Embedded,No,No,9.38,9.9,9.63,9.86,9.85,10,9.9,10,9.77,92.4,0,2,2,3,1,83.5,5,71.6,75.9,1,High,1,0,25.42
112,Male,Delhi,Tier1,IT,DataScience,Yes,No,9.5,9.44,9.37,9.55,10,9.92,9.5,9.83,9.7,90.9,1,4,3,3,1,83.5,4.6,75.5,67,1,High,1,0,25.2
113,Female,Hyderabad,Tier2,CS,AI,Yes,No,7.79,7.65,7.65,7.34,7.18,7.49,7.36,7.23,7.35,63.6,0,1,1,0,0,46.1,2.2,32.1,31.2,0,Mid,0,0,0
114,Female,Hyderabad,Tier2,Civil,AI,Yes,No,5.89,5.62,5.46,5.73,5.17,5.18,4.91,5.61,5.53,62.6,0,1,1,0,0,,2.3,30.1,,0,Low,0,0,0
115,Male,Pune,Tier1,CS,DataScience,Yes,No,5.95,5.38,5.93,5.27,5.73,5.44,5.58,5.39,5.65,71.6,0,1,2,1,0,84.1,2.6,42.2,48.3,0,Low,0,0,0
116,Male,Ahmedabad,Tier2,Mechanical,Embedded,Yes,No,7.34,6.53,6.66,6.58,6.77,7.03,6.51,6.34,6.68,55.5,0,1,1,0,0,44.2,2.2,29.8,31.5,1,Mid,0,0,0
117,Male,Chennai,Tier3,CS,Networking,Yes,Yes,5.17,5.55,5.27,4.97,5.33,4.54,5.05,4.96,5.21,57.6,1,1,1,0,0,41.7,,,33.5,0,Low,0,0,0
118,Male,Delhi,Tier2,Civil,DataScience,No,Yes,9.82,10,10,9.78,10,10,10,10,9.84,93.9,3,4,2,3,1,79.8,5,83.4,66.3,1,High,1,0,25.98
119,Female,Chennai,Tier3,Mechanical,Networking,Yes,Yes,6.03,6.13,6,5.8,5.94,6.13,5.59,6.59,6.05,64.4,0,1,0,1,0,50.8,1,29.3,22.1,0,Low,0,0,0
120,Female,Delhi,Tier2,Mechanical,Embedded,No,No,8.39,8.93,8.71,7.94,8.49,8.59,8.83,8.35,8.61,62.8,1,2,2,1,1,71.6,3,43.9,54.7,1,High,1,0,18.71
121,Female,Pune,Tier3,Civil,Networking,Yes,No,5.52,4.36,4.96,4.8,4.42,4.8,4.92,4.8,5.02,65.2,1,0,0,0,1,43.6,2.7,31.7,29.4,0,Low,0,0,0
122,Male,Delhi,Tier2,Mechanical,DataScience,No,No,5.2,5.03,4.89,4.54,4.81,4.43,4.06,4.39,4.7,51.7,0,0,0,0,0,41.5,2.6,32.8,35.5,0,Low,0,0,0
123,Male,Pune,Tier1,CS,DataScience,Yes,No,7.44,6.81,7.42,7.08,7.81,7.37,7.74,7.43,7.44,77.4,2,1,,3,2,,3.7,98.9,68.1,1,Mid,1,0,8.64
124,Male,Bangalore,Tier1,CS,AI,Yes,No,9.63,9.36,9.46,10,9.43,9.85,9.64,9.88,9.98,97.3,3,5,3,4,1,97.4,4.6,96.9,80.9,1,High,1,1,25.08
125,Female,Kochi,Tier1,ECE,Embedded,No,No,8.18,7.95,8.05,7.86,8.01,7.67,8.08,8.56,8.13,91.6,3,4,,4,2,87.4,4.7,86.8,88.7,0,High,1,0,18.82
126,Male,Ahmedabad,Tier1,Mechanical,DataScience,Yes,No,4.76,4.27,4.39,4.87,4.35,4.82,4.65,4.4,4.73,83.6,1,2,2,2,1,56.9,3.9,50,,0,Low,1,0,3.19
127,Male,Jaipur,Tier3,ECE,Embedded,Yes,No,7.26,7.12,7.2,7.62,7.01,6.91,7.22,7.13,7.06,59.1,0,0,0,0,0,46.8,1.7,35,31.6,0,Mid,0,0,0
128,Male,Pune,Tier2,ECE,Embedded,No,No,6.7,6.23,6.6,6.77,5.78,5.75,6.61,6.53,6.21,55.6,0,1,1,1,1,50.6,1.8,27.8,31.9,0,Low,0,0,0
129,Female,Pune,Tier2,CS,DataScience,No,No,10,10,10,10,10,10,10,10,10,100,2,3,2,3,1,58.3,3.8,86,72.3,1,High,1,0,25.99
130,Male,Mumbai,Tier2,CS,Networking,Yes,No,6.89,7.14,7.24,6.95,7.35,7.46,7.24,7.69,7.29,69.6,1,2,2,2,0,75.8,3.5,53.5,53,1,Mid,1,0,9.35
